行業別大類,行業別中類,行業別小類,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月 
H.金融、保險及不動產業,67 保險業,671 人身保險業,13174515,10220234,13932166,13643888,16931943,16733054,18132425,18271838,16840981,16125906,15040684,13828885
H.金融、保險及不動產業,67 保險業,672 財產保險業,2464647,2025991,2542841,2513044,2951634,2919598,3113791,3147760,2867954,2776032,2632801,2197643
H.金融、保險及不動產業,67 保險業,673 社會保險業,169064,135446,179016,178478,220091,228225,245126,254573,221243,207466,195673,183584
H.金融、保險及不動產業,67 保險業,674 保險輔助業,6063,5502,5816,7600,7902,10432,10647,11424,11430,9702,8413,8631
H.金融、保險及不動產業,67 保險業,675 再保險業,0,0,0,0,0,0,0,0,0,0,0,0
H.金融、保險及不動產業,67 保險業,679 其他保險業,197200,175936,182279,218405,233817,270714,292460,293608,283791,321782,294258,290258
H.金融、保險及不動產業,68 不動產業,681 不動產經營業,897249,784934,870139,992285,1161150,1336436,1421634,1501264,1417057,1230224,1070624,1257646
H.金融、保險及不動產業,68 不動產業,682 市場及展示場管理業,1070975,907838,1160625,1268966,1480428,1567735,1702643,1701041,1652025,1507533,1339818,1229344
I.工商服務業,71 法律及會計服務業,711 法律服務業,237301,196114,152537,169708,204251,223150,234778,237474,216377,195464,159887,145725
I.工商服務業,71 法律及會計服務業,712 會計服務業,29834,28097,31370,32134,40174,54323,53005,59367,58250,49506,37623,36573
I.工商服務業,72 建築及工程技術服務業,,1226498,961395,1282285,1271872,1566599,1593062,1782811,1812544,1592172,1453466,1390036,1290412
I.工商服務業,73 商品經紀業,,5653329,4617946,6005000,5813569,7093316,6977935,7605949,7313221,6667165,5911130,5777677,5369687
I.工商服務業,74 顧問服務業,,263419,233694,267325,279956,313208,321449,355253,360365,327541,301966,273625,278423
I.工商服務業,75 資訊服務業,,39985716,37315047,43186377,44261247,49997175,50115452,52866312,54391902,53297248,54846593,54514844,55320758
I.工商服務業,76 廣告業,,198273,170235,168910,198381,211494,261021,263746,263822,256565,235753,227883,235915
I.工商服務業,77 設計業,,52922,50484,52647,62819,64408,68259,65957,68310,63070,57798,60625,62334
I.工商服務業,78 租賃業,781 機械設備租賃業,277614,222028,277308,279719,319106,331432,386499,390386,346659,292794,273001,267061
I.工商服務業,78 租賃業,782 運輸工具設備租賃業,155790,105990,137553,147553,174023,179192,182180,200889,188673,173015,158394,167678
I.工商服務業,78 租賃業,783 物品租賃業,118906,113654,115278,121680,122698,150169,167528,171733,167896,161315,134675,133289
I.工商服務業,79 其他工商服務業,,86728990,74717128,87456856,91831296,106266533,109226068,115502664,118608122,111283228,103596635,96836624,94351564
J.社會服務及個人服務業,81 環境衛生及污染防治服務業,,39841894,35571193,39541740,42153576,44215866,43433858,45074584,45486567,43000633,45062623,42489656,43681144
J.社會服務及個人服務業,82 社會服務業,821 教育訓練服務業,197650843,139649080,226756888,238823367,336815635,320774837,258601050,253507369,300860780,276906844,251094278,232268444
