行業別大類,行業別中類,行業別小類,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
C.製造業,31 電力及電子機械器材製造修配業,313 照明設備製造,8107608,6306508,8054625,7390983,9809800,10251030,10070513,10240188,9361684,9758711,9624934,8757534
C.製造業,31 電力及電子機械器材製造修配業,314 資料儲存及處理設備製造,371874190,342217152,387934535,393559583,411828391,417288367,429415442,431942626,408510704,419477543,393461215,399581447
C.製造業,31 電力及電子機械器材製造修配業,315 視聽電子產品製造,45328808,42525710,50155099,54138649,39136317,39269881,41148344,40807307,38847869,39104560,36836385,35446696
C.製造業,31 電力及電子機械器材製造修配業,316 通信機械器材製造,69547729,59478015,72024987,73504480,79402854,79346662,83451435,84788176,79320547,82975841,78011243,76575783
C.製造業,31 電力及電子機械器材製造修配業,317 電子零組件製造,2480624631,2249258079,2556458711,2663582826,2792889839,2779942085,2913269274,2945699349,2804852584,2890127299,2727462874,2775125180
C.製造業,31 電力及電子機械器材製造修配業,318 電池製造,43217320,37578591,44035264,43097642,44072079,44054283,45494659,41167077,36784169,41885421,41421946,40849056
C.製造業,31 電力及電子機械器材製造修配業,319 其他電力及電子機械器材製造修配,488144314,420493446,494208169,497247983,527558442,518338096,539059632,539333400,515003620,525335620,502425228,512851709
C.製造業,32 運輸工具製造修配業,321 船舶及其零件製造修配,21307892,18894276,22415051,23084204,23449734,24034940,24937928,25598875,21746507,24648506,24132234,22812692
C.製造業,32 運輸工具製造修配業,322 鐵路車輛及其零件製造修配,1996204,1538043,1952397,1886145,2218748,2283540,2396327,2523721,2205428,2212985,2050442,2001467
C.製造業,32 運輸工具製造修配業,323 汽車及其零件製造,98644598,75420426,105534296,98948467,115715977,116675849,118144223,116994304,105818163,113365101,109017498,107232766
C.製造業,32 運輸工具製造修配業,324 機車及其零件製造,14386428,11701944,16168116,16160242,18771369,18825342,19700865,21105573,17377749,18525840,17006177,14735220
