行業別大類,行業別中類,行業別小類,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
C.製造業,29 機械設備製造業,291 金屬加工用機械設備製造業,53628448,30128293,38112347,40733231,44995205,43837652,47496985,47368704,44463922,44242347,41786303,40669881
C.製造業,29 機械設備製造業,292 其他專用機械設備製造業,50293026,40816019,48880072,51114474,55677723,47183632,51888420,52560834,49199767,48351181,44313101,42952547
C.製造業,29 機械設備製造業,293 通用機械設備製造業,86051816,64639233,81162620,85190386,95053779,92747244,107318798,103693547,98487071,97862050,91276672,89275434
C.製造業,30 汽車及其零件製造業,301 汽車製造業,10374085,7849529,10104835,12011155,13290856,13566616,15611762,12159580,12539681,12488334,11730078,11844097
C.製造業,30 汽車及其零件製造業,302 車體製造業,1534948,1178058,1482031,1506747,1659568,1644851,1773809,1535793,1655286,1705060,1641109,1623169
C.製造業,30 汽車及其零件製造業,303 汽車零件製造業,119589223,86576838,116361705,118967375,127700225,121861289,128796104,121015917,113267671,117791502,112845353,110345637
C.製造業,31 其他運輸工具及其零件製造業,311 船舶及浮動設施製造業,11333816,9003475,11343427,11411493,12400226,11690103,12366349,11795211,12263618,12304054,11651874,11019720
C.製造業,31 其他運輸工具及其零件製造業,312 機車及其零件製造業,21591124,16517060,22071517,23477095,26153872,23496212,25880372,24352946,22772282,23238640,20786392,18176978
C.製造業,31 其他運輸工具及其零件製造業,313 自行車及其零件製造業,31599616,22664489,29949571,30313956,34746026,33448192,37364264,36864623,33818190,34867060,33141169,31778658
C.製造業,31 其他運輸工具及其零件製造業,319 未分類其他運輸工具及其零件製造業,23856921,17880936,24069920,26131616,28874022,87421437,33580167,32893492,29414973,29600298,27937719,27023353
C.製造業,32 家具製造業,321 非金屬家具製造業,7703874,5456138,6804854,6764735,7539385,7244770,8080420,8080615,7669681,7904099,7579089,7585215
C.製造業,32 家具製造業,322 金屬家具製造業,6255443,4646001,5558033,5812956,6350356,6106688,6964260,7181931,6957695,6976331,6644907,6511345
C.製造業,33 其他製造業,331 育樂用品製造業,22218764,30675805,21414694,21950388,24194717,23779631,26499917,27060527,24968529,25700218,23828198,22750414
C.製造業,33 其他製造業,332 醫療器材及用品製造業,38667028,30018406,37703717,39014132,41753730,41571116,45060903,44928025,42032442,42719629,40371753,39936890
C.製造業,33 其他製造業,339 未分類其他製造業,17193975,13672056,16730678,17564818,18814831,18435457,20345540,20584475,19838221,20240139,19085975,18867408
C.製造業,34 產業用機械設備維修及安裝業, ,23150008,19473203,24473918,15497528,17072253,17030789,19252078,19234803,17515602,17776981,15707701,15018391
D.電力及燃氣供應業,35 電力及燃氣供應業,351 電力供應業,69733761,11562512,37775811,8142391,17048227,10551367,10499731,11715392,13408433,11345687,9725409,11035854
D.電力及燃氣供應業,35 電力及燃氣供應業,352 氣體燃料供應業,28973692,33437704,38794266,37898046,39247628,40206324,44779442,44916048,41765720,41631062,53793922,57659942
D.電力及燃氣供應業,35 電力及燃氣供應業,353 蒸汽供應業,152141,114255,143050,149027,160103,147065,136003,164252,161451,175419,168831,153038
