日期,備轉容量(萬瓩),備轉容量率(%)
2018/11/5,211.11,7.07
2018/11/6,212.21,6.90
2018/11/7,197.08,6.37
2018/11/8,191.32,6.09
2018/11/9,210.73,6.96
2018/11/10,189.32,7.03
2018/11/11,254.37,9.95
2018/11/12,209.03,6.98
2018/11/13,203.95,6.91
2018/11/14,200.93,6.83
2018/11/15,197.89,6.61
2018/11/16,209.44,6.99
2018/11/17,186.93,7.02
2018/11/18,180.6,7.03
2018/11/19,193.68,6.64
2018/11/20,191.99,6.46
2018/11/21,193.86,6.46
2018/11/22,251.82,8.74
2018/11/23,269.3,9.48
2018/11/24,336.58,13.57
2018/11/25,307.7,12.40
2018/11/26,191.63,6.63
2018/11/27,182.89,6.30
2018/11/28,190.34,6.57
2018/11/29,203.97,7.11
2018/11/30,218.33,7.64
2018/12/1,267.65,10.44
2018/12/2,245.22,9.82
2018/12/3,189.4,6.54
2018/12/4,185.17,6.20
2018/12/5,194.14,6.60
2018/12/6,186.57,6.21
2018/12/7,186.76,6.59
2018/12/8,265.04,10.52
2018/12/9,265.65,11.05
2018/12/10,190.99,6.67
2018/12/11,183.35,6.39
2018/12/12,193.47,6.85
2018/12/13,189.46,6.72
2018/12/14,195.39,6.93
2018/12/15,255.03,10.04
2018/12/16,214.34,8.73
2018/12/17,177.33,6.37
2018/12/18,178.38,6.35
2018/12/19,180.58,6.36
2018/12/20,179.62,6.30
2018/12/21,199.42,6.96
2018/12/22,187.3,6.89
2018/12/23,245.64,10.02
2018/12/24,233.96,8.38
2018/12/25,195.94,6.85
2018/12/26,177.96,6.25
2018/12/27,193.56,6.98
2018/12/28,206.27,7.68
2018/12/29,327.71,13.48
2018/12/30,176.22,7.55
2018/12/31,310.61,13.27
2019/1/1,255.73,10.71
2019/1/2,189.95,6.75
2019/1/3,189.16,6.65
2019/1/4,181.11,6.36
2019/1/5,190.27,7.30
2019/1/6,233.27,9.48
2019/1/7,179.93,6.31
2019/1/8,184.33,6.42
2019/1/9,195.37,6.82
2019/1/10,184.73,6.37
2019/1/11,188.34,6.54
2019/1/12,249.66,9.64
2019/1/13,239.76,9.73
2019/1/14,174.54,6.16
2019/1/15,184.41,6.38
2019/1/16,184.88,6.45
2019/1/17,193.27,6.81
2019/1/18,193.59,6.97
2019/1/19,195.39,7.38
2019/1/20,259.87,10.59
2019/1/21,191.47,6.90
2019/1/22,192.14,6.83
2019/1/23,193.88,6.96
2019/1/24,187.23,6.72
2019/1/25,190.53,6.98
2019/1/26,253.49,10.03
2019/1/27,209.16,8.57
2019/1/28,180.57,6.55
2019/1/29,183.23,6.58
2019/1/30,180.97,6.52
2019/1/31,188.96,6.95
2019/2/1,214.8,8.69
2019/2/2,224.03,9.58
2019/2/3,203.82,8.89
2019/2/4,256.29,12.68
2019/2/5,233.31,11.67
2019/2/6,232.21,11.65
2019/2/7,210.72,10.06
2019/2/8,311.45,14.43
